Date,THYAO.IS,BIMAS.IS,KCHOL.IS,FROTO.IS,TUPRS.IS,SAHOL.IS,GARAN.IS,AKBNK.IS,ISCTR.IS,YKBNK.IS,EREGL.IS,SISE.IS,ASELS.IS,TCELL.IS,ENKAI.IS,PGSUS.IS,TOASO.IS,MGROS.IS,TTKOM.IS,TAVHL.IS
2022-03-22,5,7,7,7,7,7,5,5,5,5,7,7,5,7,5,5,5,7,5,5
2022-03-23,5,7,7,7,7,7,5,5,5,5,7,7,5,5,5,5,5,7,5,3
2022-03-24,5,7,7,7,3,7,5,3,3,5,7,7,3,5,7,5,5,7,5,3
2022-03-25,5,7,7,7,5,7,5,3,3,3,5,7,5,5,7,5,5,5,5,5
2022-03-28,5,7,5,7,3,3,5,3,3,3,5,5,3,5,7,5,5,7,5,7
2022-03-29,5,7,7,5,3,7,5,3,3,3,3,7,5,7,7,5,5,7,5,7
2022-03-30,7,7,7,5,5,7,5,5,5,7,3,7,5,7,7,7,5,7,5,7
2022-03-31,7,7,7,5,5,7,5,3,5,7,3,7,5,7,7,7,3,7,5,7
2022-04-01,7,5,7,7,5,7,5,7,7,7,3,7,5,7,7,7,3,7,5,7
2022-04-04,7,5,7,7,7,7,7,7,7,7,5,7,5,7,5,7,5,7,5,7
2022-04-05,7,5,5,7,7,7,7,7,7,7,5,7,5,7,5,7,5,7,5,7
2022-04-06,7,5,5,7,7,5,7,7,5,7,5,7,5,5,5,7,5,7,5,7
2022-04-07,7,5,5,7,3,7,7,7,7,7,5,7,5,5,5,7,3,5,5,7
2022-04-08,7,7,7,7,3,7,7,7,7,7,5,7,5,3,5,7,5,5,5,7
2022-04-11,7,7,7,5,5,7,7,7,7,7,5,7,5,5,5,7,5,5,7,7
2022-04-12,7,7,7,5,7,7,7,7,7,7,7,7,5,5,5,7,3,7,5,7
2022-04-13,7,7,7,3,7,7,7,7,7,7,7,7,5,5,5,7,3,5,7,7
2022-04-14,7,7,7,3,7,7,7,7,7,7,5,7,5,5,5,7,5,7,7,7
2022-04-15,7,7,3,3,7,7,7,7,7,7,5,7,5,5,5,7,5,7,7,7
2022-04-18,7,7,5,5,5,5,7,5,5,7,5,7,5,5,3,7,5,7,7,7
2022-04-19,7,5,7,5,5,5,7,7,5,5,5,7,5,5,5,7,5,7,5,7
2022-04-20,7,5,7,5,5,5,7,7,7,7,3,7,5,5,3,7,5,7,5,7
2022-04-21,7,7,7,5,7,5,7,7,7,7,5,7,7,5,5,7,5,7,5,7
2022-04-22,7,5,5,5,5,5,7,7,7,7,3,7,5,5,5,7,3,7,5,7
2022-04-25,7,5,5,5,7,7,7,7,7,7,5,7,3,5,5,7,3,7,5,5
2022-04-26,5,5,3,5,5,5,7,7,7,7,5,7,3,5,3,5,3,3,5,3
2022-04-27,5,5,3,5,7,7,7,7,7,7,5,7,3,5,3,7,3,3,5,3
2022-04-28,5,3,5,3,3,5,7,5,5,5,5,5,3,5,3,7,3,3,3,3
2022-04-29,5,3,5,5,3,5,7,5,5,5,5,7,3,5,3,5,3,3,3,3
2022-05-05,7,5,5,5,3,3,7,5,5,5,3,7,3,3,5,7,5,5,3,5
2022-05-06,7,5,5,5,5,3,7,5,5,5,3,7,3,3,5,7,5,5,3,5
2022-05-09,7,5,5,5,3,3,7,5,5,5,5,7,3,3,5,7,3,5,3,5
2022-05-10,7,5,3,5,5,3,7,5,7,5,7,7,3,3,5,5,5,5,3,3
2022-05-11,5,3,3,3,5,5,5,5,5,5,5,7,3,3,5,5,3,3,3,3
2022-05-12,5,3,3,3,5,3,3,3,3,3,3,7,3,3,5,5,3,3,3,3
2022-05-13,5,3,3,3,5,5,3,3,3,3,3,5,3,3,3,5,3,3,3,3
2022-05-16,5,3,3,3,5,5,3,3,3,3,3,7,3,3,3,5,5,3,5,3
2022-05-17,5,5,3,3,5,5,3,3,3,3,3,7,3,3,3,7,3,3,5,3
2022-05-18,7,3,3,3,5,5,5,3,3,3,3,5,3,3,3,7,3,3,5,3
2022-05-20,7,3,3,3,5,5,5,3,3,3,5,5,5,3,3,7,3,5,5,5
2022-05-23,7,3,3,3,5,5,5,3,5,3,5,3,5,3,3,5,3,3,5,5
2022-05-24,7,3,3,3,3,5,3,3,5,3,5,5,5,3,3,5,3,3,3,5
2022-05-25,7,3,5,3,3,5,3,5,5,5,5,7,5,3,3,5,3,3,3,5
2022-05-26,7,3,5,3,7,5,3,5,5,5,5,5,5,5,5,5,3,3,5,5
2022-05-27,7,3,5,5,5,5,3,5,5,5,5,5,5,5,7,5,3,5,5,7
2022-05-30,7,5,5,5,7,5,3,5,5,5,5,7,5,5,7,7,5,7,5,7
2022-05-31,7,5,5,5,5,5,3,5,5,5,5,7,5,3,7,7,5,7,5,7
2022-06-01,7,5,5,5,5,3,5,5,5,5,5,5,5,3,7,7,5,7,5,7
2022-06-02,7,5,5,5,5,3,5,7,5,5,5,7,5,3,5,7,5,7,5,7
2022-06-03,7,5,5,5,7,3,5,7,5,5,5,7,5,5,7,7,5,7,5,5
2022-06-06,7,5,5,5,5,3,5,7,5,7,5,7,5,5,5,5,5,7,5,3
2022-06-07,5,5,5,3,7,5,5,7,5,5,5,7,5,5,7,7,5,7,5,5
2022-06-08,5,5,3,3,5,5,3,7,5,3,3,7,3,3,5,7,3,5,3,5
2022-06-09,5,3,3,3,5,5,3,7,3,3,3,7,3,3,7,7,3,5,3,7
2022-06-10,5,3,3,5,5,7,5,7,5,5,3,7,3,3,7,3,3,5,3,5
2022-06-13,7,3,3,3,5,5,3,5,7,5,3,5,3,3,7,3,3,5,3,5
2022-06-14,5,3,3,5,3,5,3,5,7,5,3,5,3,3,7,3,3,7,3,5
2022-06-15,7,5,5,5,3,7,3,7,7,7,3,5,3,3,7,3,3,7,3,3
2022-06-16,5,5,5,5,3,5,3,7,7,5,3,5,3,3,7,3,5,7,3,3
2022-06-17,7,5,5,5,3,7,3,7,5,5,3,5,3,3,7,7,3,7,3,5
2022-06-20,7,5,5,5,3,7,3,7,5,5,3,5,5,3,7,7,3,7,5,7
2022-06-21,7,3,5,5,3,7,5,7,5,7,3,7,7,5,7,7,3,7,7,7
2022-06-22,7,5,5,5,3,7,5,7,5,5,3,7,5,5,7,5,3,7,5,7
2022-06-23,7,5,5,5,5,7,5,5,5,5,3,7,5,5,7,3,3,7,5,5
2022-06-24,7,5,7,5,5,7,3,5,5,5,3,7,5,5,5,5,3,7,5,5
2022-06-27,3,5,7,5,5,7,3,5,5,5,5,7,5,3,7,5,3,7,3,5
2022-06-28,3,5,7,5,5,5,3,5,3,5,5,5,3,3,7,5,3,7,3,3
2022-06-29,3,5,3,3,7,5,3,5,5,5,5,5,3,3,3,3,3,7,3,3
2022-06-30,3,3,3,3,7,5,3,3,5,3,5,7,5,3,3,5,3,5,3,3
2022-07-01,5,3,3,3,7,5,3,3,5,3,5,5,3,3,3,5,3,5,3,3
2022-07-04,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,5,3,3
2022-07-05,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,3,3
2022-07-06,7,3,3,3,3,5,5,5,5,5,5,5,5,5,3,5,5,7,3,5
2022-07-07,5,7,3,5,3,5,5,5,5,5,3,3,5,5,5,3,5,7,5,5
2022-07-08,7,7,3,5,3,7,3,5,5,3,5,5,3,5,5,3,5,7,3,3
2022-07-13,7,7,3,3,3,7,3,5,5,3,5,5,5,5,5,5,3,7,3,5
2022-07-14,7,7,3,5,3,5,5,5,5,5,3,5,5,3,5,3,3,5,3,3
2022-07-18,7,5,3,5,3,5,5,5,5,5,3,5,5,3,5,3,3,5,3,3
2022-07-19,7,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,3,7,5,5
2022-07-20,7,5,7,5,5,5,7,5,5,5,7,5,3,5,5,5,3,7,5,5
2022-07-21,7,5,5,5,5,5,5,5,5,5,7,5,5,5,3,3,5,7,5,5
2022-07-22,5,7,5,5,5,5,5,5,5,5,5,3,5,5,3,3,5,7,5,5
2022-07-25,5,7,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5
2022-07-26,3,7,5,5,5,5,3,5,3,5,5,3,5,3,3,3,7,5,5,5
2022-07-27,3,7,5,5,3,5,3,7,5,7,3,3,5,3,3,3,7,5,3,5
2022-07-28,3,7,5,5,3,5,3,3,5,5,3,5,5,3,3,3,7,5,3,5
2022-07-29,5,7,5,5,5,5,3,7,5,7,3,5,5,3,3,3,7,7,3,7
2022-08-01,7,7,5,5,5,7,3,7,3,7,5,7,5,3,3,5,7,7,5,7
2022-08-02,7,7,7,5,3,7,3,7,7,7,3,5,5,3,3,5,7,7,3,7
2022-08-03,7,7,7,5,5,7,3,7,7,7,3,5,5,5,3,5,7,7,5,7
2022-08-04,7,7,7,7,5,7,7,7,7,7,5,5,5,5,3,5,7,7,5,7
2022-08-05,7,7,7,7,3,7,7,7,7,7,3,5,5,5,5,5,7,7,5,7
2022-08-08,7,7,7,7,3,7,7,7,7,7,3,5,5,5,5,5,7,7,5,7
2022-08-09,7,7,7,7,7,7,7,7,3,7,3,5,5,5,5,5,7,7,5,7
2022-08-10,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,7,7,7,7
2022-08-11,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,7,7,7,7
2022-08-12,7,7,7,7,7,7,7,7,3,7,7,7,5,5,5,5,7,7,3,7
2022-08-15,7,7,5,7,7,5,7,7,5,7,3,3,5,3,5,5,7,7,3,7
2022-08-16,7,7,7,7,7,7,7,7,5,7,3,5,5,3,3,5,7,7,3,7
2022-08-17,7,7,7,7,7,7,7,7,7,7,3,7,7,3,5,7,7,7,3,7
2022-08-18,7,5,7,7,7,5,7,7,7,7,7,7,7,3,3,7,7,7,7,5
2022-08-19,7,5,7,7,7,5,7,7,7,7,7,7,7,7,3,7,7,7,7,5
2022-08-22,7,7,7,7,7,7,7,7,7,7,5,7,7,7,3,7,7,7,7,7
2022-08-23,7,5,7,7,7,7,7,7,7,7,5,7,7,7,3,7,7,7,7,7
2022-08-24,7,5,7,7,7,5,7,5,7,5,5,7,7,7,3,5,7,7,7,5
2022-08-25,7,7,5,5,7,7,7,7,5,7,5,7,7,7,3,5,7,7,7,7
2022-08-26,7,7,5,7,7,7,7,7,5,7,5,5,7,7,3,5,7,7,7,7
2022-08-29,7,7,5,7,7,7,7,7,5,7,5,7,5,7,3,5,7,7,7,5
2022-08-31,7,7,5,5,7,5,5,5,5,7,5,5,5,7,3,5,7,7,7,5
2022-09-01,7,5,5,5,5,5,5,7,5,7,5,3,5,5,3,7,7,7,7,5
2022-09-02,7,5,5,5,5,5,5,7,7,7,5,5,7,5,3,7,7,7,7,5
2022-09-05,7,5,7,5,5,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7
2022-09-06,7,5,5,5,5,7,7,7,7,7,5,5,7,7,5,7,7,7,5,7
2022-09-07,7,5,7,7,5,7,7,7,7,7,5,7,7,7,5,7,7,7,7,7
2022-09-08,7,7,7,5,5,7,5,7,7,5,5,7,5,7,5,7,5,7,7,7
2022-09-09,7,7,7,5,3,7,5,7,7,7,5,5,7,7,5,7,5,7,7,7
2022-09-12,7,7,7,5,3,7,7,7,7,7,5,7,7,7,5,7,7,7,7,7
2022-09-13,7,5,7,5,3,7,3,7,7,7,5,7,5,5,5,7,7,5,7,5
2022-09-14,5,5,7,5,3,7,5,5,7,7,5,7,7,5,5,5,7,7,7,5
2022-09-15,5,3,7,3,3,5,5,5,3,7,5,5,5,5,5,5,7,5,7,5
2022-09-16,3,3,3,3,3,5,3,5,3,7,5,5,5,7,5,5,5,5,5,7
2022-09-19,3,3,3,3,3,5,3,3,3,5,3,5,3,5,5,5,5,5,3,7
2022-09-20,3,5,3,5,3,5,3,5,3,7,5,5,5,7,5,5,5,5,5,7
2022-09-21,3,3,3,3,3,5,3,3,3,7,3,5,5,3,3,5,5,7,5,5
2022-09-22,5,5,5,5,3,7,3,3,3,7,5,5,3,3,3,5,5,7,5,7
2022-09-23,3,5,5,3,3,3,3,3,5,5,3,5,5,3,3,5,5,7,3,3
2022-09-26,3,5,5,3,3,5,3,7,5,7,3,5,5,3,3,5,7,3,5,3
2022-09-27,3,5,5,3,3,5,3,7,3,5,3,3,5,3,3,3,5,5,3,3
2022-09-28,3,5,3,3,3,5,3,7,3,5,3,5,3,3,3,3,7,3,3,3
2022-09-29,3,3,3,3,3,5,3,5,3,3,3,3,5,3,3,3,5,3,3,3
2022-09-30,3,3,3,3,3,3,5,5,3,3,5,3,5,3,3,3,3,3,3,3
2022-10-03,5,3,5,5,3,5,5,5,5,5,5,3,5,3,3,3,5,7,3,3
2022-10-04,5,3,5,5,5,5,3,3,3,3,5,5,5,3,3,5,7,7,3,5
2022-10-05,7,5,5,5,5,5,3,3,3,7,5,5,5,3,3,5,5,3,3,5
2022-10-06,7,5,5,5,5,5,5,5,3,7,3,7,3,5,5,5,7,5,5,5
2022-10-07,7,5,5,5,5,5,3,3,3,5,3,7,5,5,5,5,7,5,5,5
2022-10-10,7,5,5,5,5,3,3,3,3,5,3,7,5,5,5,5,3,7,5,5
2022-10-11,5,3,5,5,5,3,3,3,5,5,3,7,5,5,5,5,5,5,5,3
2022-10-12,5,3,3,5,3,3,3,3,5,5,3,7,5,5,3,3,3,3,5,3
2022-10-13,7,3,5,5,3,3,3,3,3,7,3,7,3,5,3,7,3,5,5,5
2022-10-14,7,3,3,5,3,3,3,5,3,5,3,5,3,5,3,7,3,3,5,5
2022-10-17,7,5,7,5,5,7,5,7,7,7,3,5,3,5,3,7,7,3,5,5
2022-10-18,7,5,7,5,3,5,5,5,5,3,3,5,5,5,5,7,5,3,3,5
2022-10-19,7,7,7,5,5,5,5,7,7,7,3,5,5,5,5,7,5,5,5,5
2022-10-20,7,5,5,5,5,5,5,7,5,7,5,7,5,5,5,7,5,5,7,5
2022-10-21,7,7,7,5,5,5,5,7,5,5,3,7,5,5,5,7,7,5,5,7
2022-10-24,7,7,7,5,5,5,5,5,3,3,5,7,3,5,5,5,7,7,5,7
2022-10-25,7,7,7,3,5,5,3,5,3,3,5,7,3,3,5,5,7,5,5,7
2022-10-26,7,5,7,3,5,5,3,5,3,3,5,7,5,3,5,5,5,3,7,7
2022-10-27,7,5,7,3,5,5,3,3,3,3,3,7,5,3,5,5,3,3,3,7
2022-10-28,7,5,5,3,3,3,3,3,3,3,5,7,5,3,5,5,3,3,3,5
2022-10-31,7,5,5,3,3,5,3,3,5,5,3,7,5,3,5,5,3,3,3,5
2022-11-01,7,3,7,3,5,3,3,3,5,5,3,5,5,7,5,7,3,3,5,3
2022-11-02,7,7,7,5,5,3,3,3,3,3,3,5,5,7,5,5,3,5,7,3
2022-11-03,5,5,7,5,5,3,3,3,3,3,3,5,5,7,7,7,3,5,7,7
2022-11-04,7,7,7,5,5,5,5,3,5,5,5,7,5,7,5,7,5,7,7,7
2022-11-07,7,7,7,5,7,7,5,3,5,5,7,7,5,7,5,7,5,7,7,7
2022-11-08,7,7,7,5,7,7,5,3,3,3,5,7,5,7,5,7,5,7,5,7
2022-11-09,7,5,7,3,7,7,5,3,5,3,3,7,5,7,5,7,5,7,7,7
2022-11-10,7,7,7,5,7,7,5,5,5,5,7,7,7,7,7,7,5,7,7,7
2022-11-11,5,5,7,5,5,5,5,3,5,3,3,5,7,7,7,7,5,7,7,7
2022-11-14,3,5,7,5,3,5,5,3,5,3,3,5,7,7,7,3,5,3,7,5
2022-11-15,3,5,7,5,3,7,5,5,5,5,5,5,5,7,7,3,5,5,7,3
2022-11-16,3,3,5,5,3,5,5,5,5,5,5,5,3,5,7,3,5,3,5,3
2022-11-17,3,3,3,5,3,5,5,5,5,5,5,5,7,7,7,3,7,3,5,3
