Log Id,Group,Column,Timestamp,Cash,Position,Debt,Free Cash,Val Price,Value,Request Size,Request Price,Request Size Type,Request Direction,Request Fees,Request Fixed Fees,Request Slippage,Request Min Size,Request Max Size,Request Size Granularity,Request Rejection Prob,Request Lock Cash,Request Allow Partial,Request Raise Rejection,Request Log,New Cash,New Position,New Debt,New Free Cash,New Val Price,New Value,Result Size,Result Price,Result Fees,Result Side,Result Status,Result Status Info,Order Id
0,0,THYAO.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,27.274607842200847,1000000.0,0.0,27.274607842200847,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,27.274607842200847,1000000.0,,,,,Rejected,NoOpenPosition,-1
1,0,BIMAS.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,36.55930574507511,1000000.0,0.0,36.55930574507511,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,36.55930574507511,1000000.0,,,,,Rejected,NoOpenPosition,-1
2,0,KCHOL.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,31.00947892735835,1000000.0,0.0,31.00947892735835,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,31.00947892735835,1000000.0,,,,,Rejected,NoOpenPosition,-1
3,0,FROTO.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,22.751406989371063,1000000.0,0.0,22.751406989371063,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,22.751406989371063,1000000.0,,,,,Rejected,NoOpenPosition,-1
4,0,TUPRS.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,18.80087204620009,1000000.0,0.0,18.80087204620009,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,18.80087204620009,1000000.0,,,,,Rejected,NoOpenPosition,-1
5,0,SAHOL.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,14.668929100036621,1000000.0,0.0,14.668929100036621,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,14.668929100036621,1000000.0,,,,,Rejected,NoOpenPosition,-1
6,0,GARAN.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,9.542350881485937,1000000.0,0.0,9.542350881485937,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,9.542350881485937,1000000.0,,,,,Rejected,NoOpenPosition,-1
7,0,AKBNK.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,5.9920767739622525,1000000.0,0.0,5.9920767739622525,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,5.9920767739622525,1000000.0,,,,,Rejected,NoOpenPosition,-1
8,0,ISCTR.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,1.3032355835102662,1000000.0,0.0,1.3032355835102662,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,1.3032355835102662,1000000.0,,,,,Rejected,NoOpenPosition,-1
9,0,YKBNK.IS,2022-03-22,1000000.0,0.0,0.0,1000000.0,3.4340903452917506,1000000.0,0.0,3.4340903452917506,TargetPercent,LongOnly,0.0004,0.0,0.0,1e-08,inf,,0.0,False,True,False,True,1000000.0,0.0,0.0,1000000.0,3.4340903452917506,1000000.0,,,,,Rejected,NoOpenPosition,-1
