source,published_at,0
kap,2023-10,8
kap,2023-11,8
kap,2023-12,7
kap,2024-01,5
kap,2024-02,2
kap,2024-03,4
kap,2024-04,7
kap,2024-05,6
kap,2024-06,2
kap,2024-07,6
kap,2024-08,3
kap,2024-09,4
kap,2024-10,6
kap,2024-11,5
kap,2024-12,1
kap,2025-01,2
kap,2025-02,16
kap,2025-03,4
kap,2025-04,8
kap,2025-05,12
kap,2025-06,6
kap,2025-07,3
kap,2025-08,5
kap,2025-09,3
kap,2025-10,3
kap,2025-11,6
kap,2025-12,5
kap,2026-01,2
kap,2026-02,6
kap,2026-03,5
kap,2026-04,9
kap,2026-05,1
kap,2026-06,4
kap,2026-07,3
kap,2026-08,2
kap,2026-09,2
rss,2023-11,1
rss,2024-03,1
rss,2024-07,1
rss,2024-10,1
rss,2024-11,2
rss,2024-12,1
rss,2025-02,1
rss,2025-04,1
rss,2025-06,4
rss,2025-09,2
rss,2025-10,1
rss,2025-11,4
rss,2025-12,2
rss,2026-01,7
rss,2026-02,14
rss,2026-03,17
rss,2026-04,21
rss,2026-05,16
rss,2026-06,32
rss,2026-07,31
rss,2026-08,39
rss,2026-09,70
